SMILES,MF
CCOC(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O,C13H17NO4
CCN(CCO)C(=O)COC(=O)C1=CC=CC=C1,C13H17NO4
OCCN(CCO)C(=O)COC(=O)C1=CC=CC=C1,C13H17NO5
COCC(C)OC(=O)OC1=CC=C(NC(C)=O)C=C1,C13H17NO5
OCC(CO)(CO)NC(=O)COC(=O)C1=CC=CC=C1,C13H17NO6
NC(CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O,C13H18Cl2N2O2
CCCC(C)(C)C(=O)Nc1ccc(Cl)cc1,C13H18ClNO
CCCC(C)C(=O)Nc1ccc(C)c(Cl)c1,C13H18ClNO
COCCN(C(=O)CCl)C1=C(C)C=CC=C1C,C13H18ClNO2
O=C(NCN1CCCCC1)C2=CC=CC=C2,C13H18N2O
O=C1NC2=C(CCC2)C(=O)N1C3CCCCC3,C13H18N2O2
COCC(NC(C)=O)C(=O)NCc1ccccc1,C13H18N2O3
NCCCCC(NC(=O)c1ccccc1)C(O)=O,C13H18N2O3
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCCC2,C13H18N2O3
CC1=NC=C(CO)C(C=NC(C(=O)O)C(C)C)=C1O,C13H18N2O4
Cn1cnc2N(C)C(=O)N(CCCCC(C)=O)C(=O)c12,C13H18N4O3
CN1C(=O)N(C)C2=C([N](COC(=O)C(C)(C)C)C=N2)C1=O,C13H18N4O4
CCCCC(=O)OC[N]1C=NC2=C1C(=O)N(C)C(=O)N2C,C13H18N4O4
CC(C)(C)c1ccc(CCC=O)cc1,C13H18O
C/C=C/C(=O)C1=C(C)C=CCC1(C)C,C13H18O
CC(C)c1cccc(c1)C(C)CC=O,C13H18O
CC(C)c1ccc(cc1)C(C)CC=O,C13H18O
CC(C)Cc1ccc(cc1)C(C)C(O)=O,C13H18O2
CCC(=O)OC1C=CC2C3CCC(C3)C12,C13H18O2
CC(C)(C)C(=O)OCCc1ccccc1,C13H18O2
CC(C)(C)c1ccc(OCC2CO2)cc1,C13H18O2
CCCCCCC1=CC=C(C=C1)C(O)=O,C13H18O2
CCCCCCOC(=O)c1ccc(O)cc1,C13H18O3
CCCCCCOC(=O)c1ccccc1O,C13H18O3
CCCCOCCOC(=O)c1ccccc1,C13H18O3
CC1(C)COC(=O)C2CC=CCC2C(=O)OC1,C13H18O4
CCOC1OC2=CC=C(O[S](C)(=O)=O)C=C2C1(C)C,C13H18O5S
OCC(O)C1OC(Oc2ccccc2)C(O)C(O)C1O,C13H18O7
OC[C@H]1O[C@@H](Oc2ccccc2CO)[C@H](O)[C@@H](O)[C@@H]1O,C13H18O7
OCC1OC(OC2=CC=CC=C2CO)C(O)C(O)C1O,C13H18O7
CO[P](=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,C13H19ClNO3PS2
CCCC(=O)N(CS[P](=S)(OC)OC)c1ccccc1Cl,C13H19ClNO3PS2
CCCCCCCC(=O)OCN1C(=O)NC=C(F)C1=O,C13H19FN2O4
CCC(C)CN(C)N=NC1=CC=C(C(=O)O)C=C1,C13H19N3O2
CCCCCN(C)N=NC1=CC=C(C(=O)O)C=C1,C13H19N3O2
CCCCCCC(=O)NNC(=O)C1=CC=NC=C1,C13H19N3O2
CCCN(CCC)c1c(cc(C)cc1[N+]([O-])=O)[N+]([O-])=O,C13H19N3O4
CCC(CC)Nc1c(cc(C)c(C)c1[N+]([O-])=O)[N+]([O-])=O,C13H19N3O4
CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,C13H19N3O5S2
CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)[S](C)(=O)=O)[N+]([O-])=O,C13H19N3O6S
CC(C)Cc1ccc(cc1)C(C)C(=O)NO,C13H19NO2
CCCCCCOC(=O)c1ccc(N)cc1,C13H19NO2
CCCCCCCOC(=O)c1cccnc1,C13H19NO2
CN(C)C(=O)SCCCCOc1ccccc1,C13H19NO2S
CCCN(CCC)S(=O)(=O)C1=CC=C(C(=O)O)C=C1,C13H19NO4S
CNC[C@H](O)c1ccc(O)c(O)c1.O[C@H]([C@@H](O)C(O)=O)C(O)=O,C13H19NO9
CCCCCCCc1ccccc1,C13H20
CCCCCCCCNC(=O)N1C=C(F)C(=O)NC1=O,C13H20FN3O3
CCCCCCCNC(=O)C1=CN=CC=C1,C13H20N2O
Nc1ccc(C(OCCN(CC)CC)=O)cc1,C13H20N2O2
CC(C)=CCC1(C(=O)NC(=O)NC1=O)C(C)(C)C,C13H20N2O3
O=C1NC(=O)C2(CCCCCCCCC2)C(=O)N1,C13H20N2O3
CCCC(=O)N(C)C1=CC=C(C=C1)[S](=O)(=O)N(C)C,C13H20N2O3S
CNC(=O)NC(=O)C(C)(C(=O)OC)C1=CCCCC1,C13H20N2O4
C#CCC(NC(=O)OC(C)(C)C)C(=O)NCC(=O)OC,C13H20N2O5
C1COC2(C1)CC3CC2C4CCCC34,C13H20O
C/C=C/C(=O)C1C(C)C=CCC1(C)C,C13H20O
CC(=O)/C=C/C1=C(C)CCCC1(C)C,C13H20O
CC(C)=CCC\C(C)=C\C=C\C(C)=O,C13H20O
CC(C)CCOCCc1ccccc1,C13H20O
CC(C)C1CC2=C(C)CC1C(C2)C=O,C13H20O
CC1(C)CCC=C(C1)C(=O)CCC=C,C13H20O
CC(=O)/C=C/C1C(=CCCC1(C)C)C,C13H20O
CCCCCCCc1ccc(O)cc1,C13H20O
C/C=C/C(=O)C1C(=CCCC1(C)C)C,C13H20O
CC(C)(C)OOC(C)(C)c1ccccc1,C13H20O2
CCCOC(C)OCCc1ccccc1,C13H20O2
CC1(C)[C@H]2CC[C@]1(C)C(C2)OC(=O)C=C,C13H20O2
CC(=O)OCC(COC(C)=O)(COC(C)=O)COC(C)=O,C13H20O8
CCO[P](=S)(NC(C)CC)Oc1cc(C)ccc1[N+]([O-])=O,C13H21N2O4PS
CCN(CC)NC(=O)NC1=C(C)C=CC=C1C,C13H21N3O
CCN(C1CC(C)[S](=O)(=O)C2=C1C=C(S2)[S](N)(=O)=O)C(=O)CNC,C13H21N3O5S3
CC(O)CN(CC(C)O)c1ccc(C)cc1,C13H21NO2
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,C13H21NO3
CC(C)O[P](=O)(OC(C)C)SCc1ccccc1,C13H21O3PS
CCCO[P](=O)(OCCC)Oc1ccc(SC)cc1,C13H21O4PS
[Cl-].CC[N+](CC)(CC)Cc1ccccc1,C13H22ClN
O=C(NC1C2C3CCCC3C(C1)C2)N(C)C,C13H22N2O
CCCCCCCC1(CC)C(=O)NC(=O)NC1=O,C13H22N2O3
CNC(/NCCSCC1=CC=C(CN(C)C)O1)=C/[N+]([O-])=O,C13H22N4O3S
CCOC(=O)CSc1nc(nn1C(=O)N(C)C)C(C)(C)C,C13H22N4O3S
S(Cc1oc(CN(C)C)cc1)CCN\C(NC)=C\N(=O)=O,C13H22N4O3S
CCO[P](=O)(NC(C)C)Oc1ccc(SC)c(C)c1,C13H22NO3PS
CC1(C)CCCC(C1)C(=O)CCC=C,C13H22O
CC(=O)CCC1=C(C)CCCC1(C)C,C13H22O
CC(C)=CCC\C(C)=C\CCC(C)=O,C13H22O
CCC(=O)OC(C)(CCC=C(C)C)C=C,C13H22O2
CC(C)(C)C1CCC(CC1)OC(=O)C=C,C13H22O2
CC1CC(CC(C)(C)C1)OC(=O)C(C)=C,C13H22O2
CC(C)(O)CCCC1=CCC(CC1)C=O,C13H22O2
CCCCCC1C(CCC1=O)CC(=O)OC,C13H22O3
CCC(CC)CC1(CCCCC1)C#N,C13H23N
CCO[P](=S)(OC(C)C)Oc1cnc(nc1)C(C)(C)C,C13H23N2O3PS
ClCCO[P](=O)(OCCCl)OCC(CCl)(CCl)CO[P](=O)(OCCCl)OCCCl,C13H24Cl6O8P2
CCO[P](=S)(OCC)Oc1cc(C)nc(n1)N(CC)CC,C13H24N3O3PS
CCCCc1c(C)nc(NCC)nc1O[S](=O)(=O)N(C)C,C13H24N4O3S
CCCCCC1(C)CCC(C)(C)C1=O,C13H24O
CC(CO)CCC1CC=C(C)C1(C)C,C13H24O
CCC(C)(C)C1CCCCC1OC(C)=O,C13H24O2
CCC(CC)CC1(CCCCC1)C(O)=O,C13H24O2
CC(C)CCCCCCCOC(=O)C=C,C13H24O2
CC(C)C1OC2(CCCC2)OCC1(C)C,C13H24O2
CC(C)C1CCC(C)CC12OCC(CO)O2,C13H24O3
CCOC(=O)OC1CCCCC1C(C)(C)C,C13H24O3
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O,C13H24O3
CCC(C)(CCC(C)C)C(=O)OCC1CO1,C13H24O3
CC(C)C1OCC2(CO1)COC(C(C)C)OC2,C13H24O4
CCOC(=O)CCCCCCCC(=O)OCC,C13H24O4
CCCCCCCCOC(=O)C(C)OC(C)=O,C13H24O4
CCCCCCCCCCC(C(O)=O)C(O)=O,C13H24O4
OC(=O)CCCCCCCCCCCC(O)=O,C13H24O4
CCCCOC(=O)CSCSCC(=O)OCCCC,C13H24O4S2
O=C1CCCCCCCCCCCCN1,C13H25NO
NC1CCC(CC1)CC2CCC(N)CC2,C13H26N2
CCCCNC(=O)OCC(C)(CCC)COC(N)=O,C13H26N2O4
COC1CCCCCCCCCCC1,C13H26O
CC(C)CCCC(C)CCCC(C)=O,C13H26O
O=C(OC)CCCCCCCCCCC,C13H26O2
CCCCCCCCCCCCC(O)=O,C13H26O2
CCCCC(CC)C(=O)OOC(C)(C)CC,C13H26O3
CCCCCCCCCCOC(=O)C(C)O,C13H26O3
CC(CC(=O)OOC(C)(C)C)CC(C)(C)C,C13H26O3
CC(C)C1CCC(C)CC1OCC(O)CO,C13H26O3
CCCCC(CC)COC(=O)OOC(C)(C)C,C13H26O4
CC/C(C)=N/O[Si@](C)(O\N=C(C)\CC)O\N=C(C)\CC,C13H27N3O3Si
CCCCCCCCCCNC(=O)C(C)O,C13H27NO2
CCCCCCCCCCCCC,C13H28
CCCCNC1CC(C)(C)NC(C)(C)C1,C13H28N2
CCCCNC(=S)N(CCCC)CCCC,C13H28N2S
CCCCCCCCCCCCCO,C13H28O
CC(C)CCCCCCCCCCO,C13H28O
CC(C)CCOCC(O)COCCC(C)C,C13H28O3
CCOCCCC(C)OCCOCC(C)CO,C13H28O4
CCCCS(=O)(=O)C(S(=O)(=O)CCCC)S(=O)(=O)CCCC,C13H28O6S3
CCCC(CC)CCCCCCCN,C13H29N
CCCCCCCCCCNCC(O)CO,C13H29NO2
[I-].CCCC[N+](C)(CCCC)CCCC,C13H30IN
C.CCCCCCCCCCCCO,C13H30O
CN(C)[P+](CC1CCCCC1)(N(C)C)N(C)C.F[B-](F)(F)F,C13H31BF4N3P
CC(O)CN(CCCN(C)C)CCCN(C)C,C13H31N3O
[O-][N+](=O)c1cc(OC(=O)Oc2cc(c(Cl)cc2Cl)[N+]([O-])=O)c(Cl)cc1Cl,C13H4Cl4N2O7
Cc1sc(C(=O)Nc2c(Br)cc(OC(F)(F)F)cc2Br)c(n1)C(F)(F)F,C13H6Br2F6N2O2S
Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl,C13H6Cl6O2
[O-][N+](=O)c1ccc(ONC=C2C=C(Br)C(=O)C(=C2)Br)c(c1)[N+]([O-])=O,C13H7Br2N3O6
OC1=C(Br)C=C(\C=N\OC2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O)C=C1Br,C13H7Br2N3O6
[O-][N+](=O)c1ccc(Oc2ccc(cc2[N+]([O-])=O)C(F)(F)F)cc1,C13H7F3N2O5
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O,C13H8Cl2N2O4
ClC(Cl)CC(=O)NC2=C(Cl)C(=O)c1ccccc1C2=O,C13H8Cl3NO3
Fc1ccc(cc1)C(=O)c2ccc(F)cc2,C13H8F2O
OC(=O)C1=CC(=CC=C1O)C2=C(F)C=C(F)C=C2,C13H8F2O3
O=C(OC1=CC=CC(=C1)N=C=S)C2=CC=CN=C2,C13H8N2O2S
Nc1ccc(Cl)cc1C(=O)c2ccccc2Cl,C13H9Cl2NO
ON(c1ccccc1)C(=O)c2ccc(Cl)cc2Cl,C13H9Cl2NO2
COC1=C(C=CC(=C1)OC2=C(C=C(C=C2)Cl)Cl)[N+](=O)[O-],C13H9Cl2NO4
Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1,C13H9Cl3N2O
NC1=C2C=CC(Cl)=CC2=NC2=C1C=CC=C2,C13H9ClN2
NC1=C2C(Cl)=CC=CC2=NC2=C1C=CC=C2,C13H9ClN2
NC1=C2C=C(Cl)C=CC2=NC2=C1C=CC=C2,C13H9ClN2
O=C(O)C1=C(Cl)C=C(N=NC2=CC=C(O)C=C2)C=C1,C13H9ClN2O3
O=C(O)C1=CC(N=NC2=CC=C(O)C=C2)=C(Cl)C=C1,C13H9ClN2O3
O=C(O)C1=C(N=NC2=CC=C(O)C=C2)C=CC(Cl)=C1,C13H9ClN2O3
O=C(O)C1=C(N=NC2=CC=C(O)C=C2)C=CC=C1Cl,C13H9ClN2O3
Oc1c(cccc1[N+]([O-])=O)C(=O)Nc2ccc(Cl)cc2,C13H9ClN2O4
Oc1ccc(cc1C(=O)Nc2ccc(Cl)cc2)[N+]([O-])=O,C13H9ClN2O4
OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F,C13H9F3N2O2
NC1=C2C=CC(F)=CC2=NC2=C1C=CC=C2,C13H9FN2
NC1=C2C=CC=C(F)C2=NC2=C1C=CC=C2,C13H9FN2
NC1=C2C=C(F)C=CC2=NC2=C1C=CC=C2,C13H9FN2
NC1=C2C(F)=CC=CC2=NC2=C1C=CC=C2,C13H9FN2
c1ccc2c(c1)cnc3ccccc23,C13H9N
c1ccc2nc3ccccc3cc2c1,C13H9N
c1ccc2c(c1)ccc3ncccc23,C13H9N
C1=CC=C2C(=C1)C(=C3C(=N2)C=CC=C3[N+](=O)[O-])N,C13H9N3O2
C1=CC=C(C(=C1)NN=C2C=CC(=O)C(=C2)C(=O)O)[N+](=O)[O-],C13H9N3O5
ON(c1ccccc1)C(=O)c2cc(cc(c2)[N+]([O-])=O)[N+]([O-])=O,C13H9N3O6
C1C2=CC=CC=C2C3=C1C=C(C=C3)[N+](=O)[O-],C13H9NO2
S=C=NC1=CC=C(C=C1)C2=CC=CC=C2,C13H9NS
c1ccc2c(c1)ccc3ccccc23,C14H10
c1ccc2cc3ccccc3cc2c1,C14H10
BrCc1ccc(cc1)c2ccccc2C#N,C14H10BrN
CN1C(=O)C(=N/Nc2ccc(Cl)c(Cl)c2)/C(=C(C#N)C1=O)C,C14H10Cl2N4O2
[Na+].[O-]C(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,C14H10Cl2NNaO2
OC(=O)CC1=CC=CC=C1OC2=C(Cl)C=C(Cl)C=C2,C14H10Cl2O3
O=C(O)C(OC1=C(Cl)C=CC=C1)OC1=C(Cl)C=CC=C1,C14H10Cl2O4
CC1=C(Cl)C(CC2=C(Cl)C=CC=C2Cl)=CC=C1Cl,C14H10Cl4
ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl,C14H10Cl4
CC1=C(Cl)C(CC2=CC=C(Cl)C=C2Cl)=CC=C1Cl,C14H10Cl4
CC1=C(Cl)C=C(CC2=CC(Cl)=CC=C2Cl)C(Cl)=C1,C14H10Cl4
CC1=C(Cl)C=C(Cl)C(CC2=CC=C(Cl)C=C2Cl)=C1,C14H10Cl4
CC1=C(Cl)C(Cl)=C(Cl)C(CC2=CC=C(Cl)C=C2)=C1,C14H10Cl4
CC1=C(CC2=C(Cl)C=CC=C2)C(Cl)=C(Cl)C(Cl)=C1,C14H10Cl4
ClC(Cl)C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,C14H10Cl4
CC1=C(CC2=CC=C(Cl)C=C2)C(Cl)=C(Cl)C(Cl)=C1,C14H10Cl4
CC1=C(Cl)C=C(Cl)C(CC2=C(Cl)C=CC=C2Cl)=C1,C14H10Cl4
CC1=C(Cl)C=C(Cl)C(CC2=CC(Cl)=CC=C2Cl)=C1,C14H10Cl4
OC(=O)C1=CC=CC=C1NC2=CC(=CC=C2)C(F)(F)F,C14H10F3NO2
[Na].Nc1cc(c(O)c2C(=O)c3c(N)cc(c(O)c3C(=O)c12)[S](O)(=O)=O)[S](O)(=O)=O,C14H10N2NaO10S2
Nc1ccc(N)c2C(=O)c3ccccc3C(=O)c12,C14H10N2O2
Oc1c2ccccc2cc3ccccc13,C14H10O
O=C(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,C14H10O2
O=C(OC(=O)c1ccccc1)c2ccccc2,C14H10O3
OC(=O)[C@@]1(O)c2ccccc2c3ccccc13,C14H10O3
OC(=O)c1ccccc1c2ccccc2C(O)=O,C14H10O4
O=C(O)C1=C(C(=O)C2=CC=C(O)C=C2)C=CC=C1,C14H10O4
O=C(OOC(=O)c1ccccc1)c2ccccc2,C14H10O4
OC(=O)c1ccccc1C(=O)c2ccccc2O,C14H10O4
[Zn++].[O-]C(=O)c1ccccc1.[O-]C(=O)c2ccccc2,C14H10O4Zn
Oc1ccc2Oc3cc(OC)cc(O)c3C(=O)c2c1,C14H10O5
OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,C14H10O9
CC1=C(N(O)C(=O)C2=C(Cl)C=C(Cl)C=C2)C=CC=C1,C14H11Cl2NO2
OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,C14H11Cl2NO2
CC1=CC=CC(N(O)C(=O)C2=C(Cl)C=C(Cl)C=C2)=C1,C14H11Cl2NO2
CCO[P](=O)(Oc1ccc(Cl)cc1Cl)Oc2ccc(Cl)cc2Cl,C14H11Cl4O4P
N[S](=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,C14H11ClN2O4S
CC(=O)OCN1C=C(F)C(=O)N(C1=O)C(=O)C2=CC=CC=C2,C14H11FN2O5
Nc1ccc2cc3ccccc3cc2c1,C14H11N
N#CC(c1ccccc1)c2ccccc2,C14H11N
[Na+].Cc1ccc(cc1[N+]([O-])=O)C(=O)Nc2ccc(cc2)[S]([O-])(=O)=O,C14H11N2NaO6S
NS(=O)(=O)C1=C(C2=NC3=C(C=CC=C3)C(=O)N2)C=CC=C1,C14H11N3O3S
NC(=O)c1ccc(NC(=O)c2ccc(cc2)[N+]([O-])=O)cc1,C14H11N3O4
CN1C2=C(C=CC=C2)C(=O)C2=C1C=CC=C2,C14H11NO
O=C(NC(=O)c1ccccc1)c2ccccc2,C14H11NO2
CC1=CC(=O)N(O)C2=C1C1=C(C=CC=C1)C=C2,C14H11NO2
OC(=O)c1ccccc1C(=O)Nc2ccccc2,C14H11NO3
CC1=CC=C(C=C1)C(=O)C2=CC(=C(O)C(=C2)O)[N+]([O-])=O,C14H11NO5
CC1=CC=C(C2=NC3=C(C=CC=C3)S2)C=C1,C14H11NS
[Na+].COc1cc(O)c(cc1[S]([O-])(=O)=O)C(=O)c2ccccc2,C14H11NaO6S
Cc1cccc2c1Cc3ccccc23,C14H12
c1ccc(cc1)\C=C\c2ccccc2,C14H12
C1Cc2ccccc2c3ccccc13,C14H12
C=C(c1ccccc1)c2ccccc2,C14H12
ClCc1ccc(cc1)c2ccc(CCl)cc2,C14H12Cl2
CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,C14H12ClN3O
CC1=CC=C(C(=O)N(O)C2=CC=C(Cl)C=C2)C=C1,C14H12ClNO2
CC1=C(NC2=CC=CC=C2C(O)=O)C=CC=C1Cl,C14H12ClNO2
Cc1cc(ccc1N[S](=O)(=O)C(F)(F)F)[S](=O)(=O)c2ccccc2,C14H12F3NO4S2
CC1=C(N(O)C(=O)C2=CC(F)=CC=C2)C=CC=C1,C14H12FNO2
CC1CCC2=CC(=CC3=C2N1C=C(C(O)=O)C3=O)F,C14H12FNO3
CC1=CC2=C(N)C3=C(C=CC=C3)N=C2C=C1,C14H12N2
Cc1ccnc2c1ccc3c(C)ccnc23,C14H12N2
Nc1ccc(cc1)C#Cc2ccc(N)cc2,C14H12N2
[Na+].[Na+].Nc1ccc(\C=C\c2ccc(N)cc2[S]([O-])(=O)=O)c(c1)[S]([O-])(=O)=O,C14H12N2Na2O6S2
ON=C(C1=CC=CC=C1)C(=NO)C1=CC=CC=C1,C14H12N2O2
O=C(NNC(=O)c1ccccc1)c2ccccc2,C14H12N2O2
Cc1ccc2nc(sc2c1[S](O)(=O)=O)c3ccc(N)cc3,C14H12N2O3S2
CN1C(=O)CCC(N2C(=O)C3=C(C=CC=C3)C2=O)C1=O,C14H12N2O4
[O-][N+](=O)c1ccc(CCc2ccc(cc2)[N+]([O-])=O)cc1,C14H12N2O4
COc1ccc(cc1[N+]([O-])=O)C(=O)Nc2ccccc2,C14H12N2O4
N(c(c(S1)cc(c2)C)c2)=C1c(ccc(N)c3)c3,C14H12N2S
Nc1ccc(N)c2C(=O)c3c(N)ccc(N)c3C(=O)c12,C14H12N4O2
Nc1ccc(cc1)[S](=O)(=O)Nc2cnc3ccccc3n2,C14H12N4O2S
[Na+].[Na+].Cc1cc(Oc2cc(C)cc(c2)[S]([O-])(=O)=O)cc(c1)[S]([O-])(=O)=O,C14H12Na2O7S2
CC(=O)c1ccc(cc1)c2ccccc2,C14H12O
OC(=O)C(c1ccccc1)c2ccccc2,C14H12O2
OC(=O)CC1=CC=C(C=C1)C2=CC=CC=C2,C14H12O2
OC(c1ccccc1)C(=O)c2ccccc2,C14H12O2
O=C(OCc1ccccc1)c2ccccc2,C14H12O2
CC(=O)OC1=CC=C(C=C1)C2=CC=CC=C2,C14H12O2
CC1(C)OC(=O)c2cc3ccccc3cc12,C14H12O2
Oc1ccc(cc1)C(=O)Cc2ccccc2,C14H12O2
OC(=O)CCC(=O)c1cccc2ccccc12,C14H12O3
Oc1ccccc1C(=O)OCc2ccccc2,C14H12O3
CC1=CC2=CC3=C(OC(=O)C=C3C)C(C)=C2O1,C14H12O3
OC(=O)CCC(=O)c1ccc2ccccc2c1,C14H12O3
COc1ccc(c(O)c1)C(=O)c2ccccc2,C14H12O3
Oc1ccc(cc1)C(=O)OCc2ccccc2,C14H12O3
OC(=O)C(O)(c1ccccc1)c2ccccc2,C14H12O3
CC(C(O)=O)C1=CC=C(C=C1)C(=O)C2=CC=CS2,C14H12O3S
OC(=O)C1=CC(=O)C2=C(O1)C=C3CCCCC3=C2,C14H12O4
COC(=O)c1ccc2cc(ccc2c1)C(=O)OC,C14H12O4
COc1ccc(c(O)c1)C(=O)c2ccccc2O,C14H12O4
COc2c1occc1c(OC)c3c(=O)cc(C)oc23 ,C14H12O5
COc1cc(OC)n2nc(nc2n1)[S](=O)(=O)Nc3c(Cl)ccc(C)c3Cl,C14H13Cl2N5O4S
CCN2c1nc(Cl)ccc1N(C)C(=O)c3cccnc23 ,C14H13ClN4O
COc1cc(OC)nc(NC(=O)N[S](=O)(=O)c2n3ccccc3nc2Cl)n1,C14H13ClN6O5S
C[S](=O)(=O)c1ccc(c(Cl)c1)C(=O)C2C(=O)CCCC2=O,C14H13ClO5S
CC(C)N(C(=O)COc1sc(nn1)C(F)(F)F)c2ccc(F)cc2,C14H13F4N3O2S
CCn1c2ccccc2c3ccccc13,C14H13N
[Na+].Cc1ccc(cc1N)C(=O)Nc2ccc(cc2)[S]([O-])(=O)=O,C14H13N2NaO4S
CC#CC1=NC(=NC(=C1)C)NC2=CC=CC=C2,C14H13N3
CC1=C(C=CC=C1)C(=O)NNC(=O)C2=CC=NC=C2,C14H13N3O2
NC(=O)c1ccc(NC(=O)c2ccc(N)cc2)cc1,C14H13N3O2
O=C(CC1=CC=CC=C1)NNC(=O)C2=CC=NC=C2,C14H13N3O2
O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,C14H13N3O2
CCCOC(=O)[N]1C2=C(C=CC=C2)N=C1C3=CSC=N3,C14H13N3O2S
CN1C(=C(O)C2=CC=CC=C2[S]1(=O)=O)C(=O)NC3=NC=C(C)S3,C14H13N3O4S2
C=CCN1C=NC2=C1N=C(NC1=CC=CC=C1)NC2=O,C14H13N5O
NC(=O)CC1=CC=C(C2=CC=CC=C2)C=C1,C14H13NO
Nc1ccc(CC(=O)c2ccccc2)cc1,C14H13NO
CC1=CC=CC(=C1)NC2=CC=CC=C2C(O)=O,C14H13NO2
COC1=CC=CC(=C1)NC2=CC=CC=C2C(O)=O,C14H13NO3
CC(=O)OC1=CC=CC=C1C(=O)OCN2C(=O)CCC2=O,C14H13NO6
Cc1ccccc1Cc2ccccc2,C14H14
C(Cc1ccccc1)c2ccccc2,C14H14
CC(c1ccccc1)c2ccccc2,C14H14
Cc1ccc(cc1)c2ccc(C)cc2,C14H14
Clc1ccc(C(Cn2ccnc2)OCC=C)c(Cl)c1,C14H14Cl2N2O
Clc1cccc(c1)N(C2CCOC2=O)C(=O)C3CC3,C14H14ClNO3
[K+].[O-][P](=O)(OCc1ccccc1)OCc2ccccc2,C14H14KO4P
CNC(=O)N(c1ccccc1)c2ccccc2,C14H14N2O
COc1ccc(cc1N)C(=O)Nc2ccccc2,C14H14N2O2
CC(=O)Nc1ccc(cc1)[S](=O)(=O)c2ccc(N)cc2,C14H14N2O3S
CCOC(=O)C1=CN=C(N[S](=O)(=O)C2=CC=CC=C2)C=C1,C14H14N2O4S
OC(=O)CNC(=O)CN[S](=O)(=O)c1ccc2ccccc2c1,C14H14N2O5S
CCOC1=CC=C(N[S](=O)(=O)C2=CC=C(C=C2)[N+]([O-])=O)C=C1,C14H14N2O5S
Nc1ccc(\C=C\c2ccc(N)cc2[S](O)(=O)=O)c(c1)[S](O)(=O)=O,C14H14N2O6S2
CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,C14H14N4O
CN1C(=O)N(C)C2=C([N](C)C(=N2)C3=CC=CC=C3)C1=O,C14H14N4O2
CCN2c1ncccc1N(C)C(=S)c3cccnc23 ,C14H14N4S
CC1=NN=C(SCC2=C(N3C(SC2)C(NC(=O)C[N]4C=NN=N4)C3=O)C(O)=O)S1,C14H14N8O4S3
CCO[P](=S)(Oc1ccc(cc1)[N+]([O-])=O)c2ccccc2,C14H14NO4PS
CC1=CC=C(OC2=CC=C(C)C=C2)C=C1,C14H14O
Cc1cccc(c1)Oc2cccc(c2)C,C14H14O
OC(c(cccc1)c1)Cc(cccc2)c2,C14H14O
C(OCc1ccccc1)c2ccccc2,C14H14O
Cc1ccccc1Oc2ccccc2C,C14H14O
C(COc1ccccc1)Oc2ccccc2,C14H14O2
OC(C(O)c1ccccc1)c2ccccc2,C14H14O2
CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O,C14H14O3
COC1=CC=C2C=C(C=CC2=C1)C(C)C(O)=O,C14H14O3
O=C(O)[C@@H](C)c1ccc2cc(ccc2c1)OC,C14H14O3
Cc1ccc(cc1)[S](=O)(=O)Oc2ccccc2C,C14H14O3S
C=CCOC(=O)c1ccccc1C(=O)OCC=C,C14H14O4
c1c(O)C2C(=O)C3cc(O)ccC3OC2cc1(OC),C14H14O5
O=C(OCC1CO1)c2ccc(cc2)C(=O)OCC3CO3,C14H14O6
O=[S](Cc1ccccc1)Cc2ccccc2,C14H14OS
CCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,C14H15Cl2N3O2
CC1(C)CC\C(=C/c2ccc(Cl)cc2)C1=O,C14H15ClO
C(NCc1ccccc1)c2ccccc2,C14H15N
N#C[C](=[C]1CC[CH2]CC1)c2ccccc2,C14H15N
Cc1ccc(cc1)N=Nc2cc(C)ccc2N,C14H15N3
